Opening Input File:<testdata/SearchString16.txt> 
Input File Size is:<16526618>
Done Reading Input File!
Opening Pattern File:<testdata/testpattern10.txt> 
Done Reading Pattern File!
---***Pratt-Boyer-Moore string search***---
The Worker 1 start searching.
worker 4: processing 998 of 1024
worker 3: processing 744 of 768
worker 2: processing 502 of 512
The Worker 1 end searching.
worker 4: processing 999 of 1024
worker 3: processing 745 of 768
worker 2: processing 503 of 512
worker 4: processing 1000 of 1024
worker 3: processing 746 of 768
worker 2: processing 504 of 512
worker 4: processing 1001 of 1024
worker 3: processing 747 of 768
worker 2: processing 505 of 512
worker 4: processing 1002 of 1024
worker 3: processing 748 of 768
worker 2: processing 506 of 512
worker 4: processing 1003 of 1024
worker 3: processing 749 of 768
worker 2: processing 507 of 512
worker 4: processing 1004 of 1024
worker 3: processing 750 of 768
worker 2: processing 508 of 512
worker 3: processing 751 of 768
worker 4: processing 1005 of 1024
worker 2: processing 509 of 512
worker 3: processing 752 of 768
worker 4: processing 1006 of 1024
worker 2: processing 510 of 512
worker 3: processing 753 of 768
worker 4: processing 1007 of 1024
worker 2: processing 511 of 512
worker 3: processing 754 of 768
worker 4: processing 1008 of 1024
The Worker 2 end searching.
worker 3: processing 755 of 768
worker 4: processing 1009 of 1024
worker 3: processing 756 of 768
worker 4: processing 1010 of 1024
worker 3: processing 757 of 768
worker 4: processing 1011 of 1024
worker 3: processing 758 of 768
worker 4: processing 1012 of 1024
worker 3: processing 759 of 768
worker 4: processing 1013 of 1024
worker 3: processing 760 of 768
worker 4: processing 1014 of 1024
worker 3: processing 761 of 768
worker 4: processing 1015 of 1024
worker 3: processing 762 of 768
worker 4: processing 1016 of 1024
worker 3: processing 763 of 768
worker 4: processing 1017 of 1024
worker 3: processing 764 of 768
worker 4: processing 1018 of 1024
worker 3: processing 765 of 768
worker 4: processing 1019 of 1024
worker 3: processing 766 of 768
worker 4: processing 1020 of 1024
worker 3: processing 767 of 768
worker 4: processing 1021 of 1024
The Worker 3 end searching.
worker 4: processing 1022 of 1024
worker 4: processing 1023 of 1024
The Worker 4 end searching.
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xvaqyxbbqy" is not in "testdata/SearchString16.txt"
"xbvbyxbqcy" is not in "testdata/SearchString16.txt"
"xrbbyxbaqy" is not in "testdata/SearchString16.txt"
"xbqanyAlyx" is not in "testdata/SearchString16.txt"
"yAyIhxaviy" is not in "testdata/SearchString16.txt"
"xavnyykaox" is not in "testdata/SearchString16.txt"
"yoaaxxabuy" is not in "testdata/SearchString16.txt"
"xlbayxqaao" is not in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
"yoaaxxabky" is in "testdata/SearchString16.txt"
"xlbayxqaay" is in "testdata/SearchString16.txt"
"xaaqyxbbqy" is in "testdata/SearchString16.txt"
"xbrbyxbqcy" is in "testdata/SearchString16.txt"
"xrbcyxbaqy" is in "testdata/SearchString16.txt"
"xbqayyAlyx" is in "testdata/SearchString16.txt"
"yAyIxxaviy" is in "testdata/SearchString16.txt"
"xavnyyaaox" is in "testdata/SearchString16.txt"
